Rainfall - (MM), Year, Month, Country, ISO3
187.169,2006, Aug, Colombia, COL
155.828,2006, Sep, Colombia, COL
288.922,2006, Oct, Colombia, COL
233.976,2006, Nov, Colombia, COL
168.823,2006, Dec, Colombia, COL
108.583,2007, Jan, Colombia, COL
42.708,2007, Feb, Colombia, COL
217.984,2007, Mar, Colombia, COL
314.82,2007, Apr, Colombia, COL
359.421,2007, May, Colombia, COL
245.2,2007, Jun, Colombia, COL
297.979,2007, Jul, Colombia, COL
295.75,2007, Aug, Colombia, COL
203.137,2007, Sep, Colombia, COL
341,2007, Oct, Colombia, COL
218.985,2007, Nov, Colombia, COL
210.031,2007, Dec, Colombia, COL
136.033,2008, Jan, Colombia, COL
154.959,2008, Feb, Colombia, COL
202.288,2008, Mar, Colombia, COL
243.549,2008, Apr, Colombia, COL
553.343,2008, May, Colombia, COL
318.803,2008, Jun, Colombia, COL
382.425,2008, Jul, Colombia, COL
345.305,2008, Aug, Colombia, COL
249.136,2008, Sep, Colombia, COL
249.352,2008, Oct, Colombia, COL
312.869,2008, Nov, Colombia, COL
162.693,2008, Dec, Colombia, COL
163.402,2009, Jan, Colombia, COL
143.194,2009, Feb, Colombia, COL
265.574,2009, Mar, Colombia, COL
189.386,2009, Apr, Colombia, COL
255.525,2009, May, Colombia, COL
297.061,2009, Jun, Colombia, COL
207.249,2009, Jul, Colombia, COL
265.792,2009, Aug, Colombia, COL
151.475,2009, Sep, Colombia, COL
255.591,2009, Oct, Colombia, COL
144.335,2009, Nov, Colombia, COL
118.596,2009, Dec, Colombia, COL
45.4006,2010, Jan, Colombia, COL
89.7351,2010, Feb, Colombia, COL
161.378,2010, Mar, Colombia, COL
327.728,2010, Apr, Colombia, COL
359.239,2010, May, Colombia, COL
367.621,2010, Jun, Colombia, COL
380.063,2010, Jul, Colombia, COL
222.503,2010, Aug, Colombia, COL
280.54,2010, Sep, Colombia, COL
246.472,2010, Oct, Colombia, COL
375.281,2010, Nov, Colombia, COL
261.668,2010, Dec, Colombia, COL
124.76,2011, Jan, Colombia, COL
174.187,2011, Feb, Colombia, COL
204.542,2011, Mar, Colombia, COL
418.318,2011, Apr, Colombia, COL
389.232,2011, May, Colombia, COL
342.108,2011, Jun, Colombia, COL
306.158,2011, Jul, Colombia, COL
210.869,2011, Aug, Colombia, COL
278.991,2011, Sep, Colombia, COL
270.26,2011, Oct, Colombia, COL
319.737,2011, Nov, Colombia, COL
239.535,2011, Dec, Colombia, COL
139.684,2012, Jan, Colombia, COL
108.976,2012, Feb, Colombia, COL
199.521,2012, Mar, Colombia, COL
277.141,2012, Apr, Colombia, COL
236.268,2012, May, Colombia, COL
179.003,2012, Jun, Colombia, COL
232.804,2012, Jul, Colombia, COL
185.661,2012, Aug, Colombia, COL
169.714,2012, Sep, Colombia, COL
249.716,2012, Oct, Colombia, COL
166.472,2012, Nov, Colombia, COL
197.758,2012, Dec, Colombia, COL
64.4901,2013, Jan, Colombia, COL
172.02,2013, Feb, Colombia, COL
137.485,2013, Mar, Colombia, COL
183.056,2013, Apr, Colombia, COL
367.192,2013, May, Colombia, COL
232.212,2013, Jun, Colombia, COL
153.626,2013, Jul, Colombia, COL
302.247,2013, Aug, Colombia, COL
208.206,2013, Sep, Colombia, COL
191.849,2013, Oct, Colombia, COL
204.808,2013, Nov, Colombia, COL
132.603,2013, Dec, Colombia, COL
101.263,2014, Jan, Colombia, COL
124.893,2014, Feb, Colombia, COL
163.249,2014, Mar, Colombia, COL
196.952,2014, Apr, Colombia, COL
266.601,2014, May, Colombia, COL
208.37,2014, Jun, Colombia, COL
189.856,2014, Jul, Colombia, COL
225.373,2014, Aug, Colombia, COL
190.831,2014, Sep, Colombia, COL
246.692,2014, Oct, Colombia, COL
222.983,2014, Nov, Colombia, COL
177.859,2014, Dec, Colombia, COL
121.265,2015, Jan, Colombia, COL
106.23,2015, Feb, Colombia, COL
250.665,2015, Mar, Colombia, COL
227.028,2015, Apr, Colombia, COL
185.557,2015, May, Colombia, COL
230.521,2015, Jun, Colombia, COL
243.036,2015, Jul, Colombia, COL
178.718,2015, Aug, Colombia, COL
133.138,2015, Sep, Colombia, COL
160.918,2015, Oct, Colombia, COL
176.606,2015, Nov, Colombia, COL
72.9596,2015, Dec, Colombia, COL
82.9881,2016, Jan, Colombia, COL
73.5669,2016, Feb, Colombia, COL
181.854,2016, Mar, Colombia, COL
293.124,2016, Apr, Colombia, COL
256.627,2016, May, Colombia, COL
180.777,2016, Jun, Colombia, COL
256.253,2016, Jul, Colombia, COL
225.063,2016, Aug, Colombia, COL
233.826,2016, Sep, Colombia, COL
234.979,2016, Oct, Colombia, COL
124.15,2016, Nov, Colombia, COL
134.379,2016, Dec, Colombia, COL
111.58,2017, Jan, Colombia, COL
123.35,2017, Feb, Colombia, COL
195.14,2017, Mar, Colombia, COL
251.65,2017, Apr, Colombia, COL
318.48,2017, May, Colombia, COL
278.59,2017, Jun, Colombia, COL
276.54,2017, Jul, Colombia, COL
233.16,2017, Aug, Colombia, COL
228.52,2017, Sep, Colombia, COL
241.04,2017, Oct, Colombia, COL
230.49,2017, Nov, Colombia, COL
164.24,2017, Dec, Colombia, COL
111.58,2018, Jan, Colombia, COL
123.35,2018, Feb, Colombia, COL
195.14,2018, Mar, Colombia, COL
251.65,2018, Apr, Colombia, COL
318.48,2018, May, Colombia, COL
278.59,2018, Jun, Colombia, COL
276.54,2018, Jul, Colombia, COL
233.16,2018, Aug, Colombia, COL
228.52,2018, Sep, Colombia, COL
241.04,2018, Oct, Colombia, COL
230.49,2018, Nov, Colombia, COL
164.24,2018, Dec, Colombia, COL
111.58,2019, Jan, Colombia, COL
123.35,2019, Feb, Colombia, COL
195.14,2019, Mar, Colombia, COL
251.65,2019, Apr, Colombia, COL
318.48,2019, May, Colombia, COL
