Date,ICO composite indicator,"Colombian
 Milds",Other Milds,"Brazilian
 Naturals",Robustas,Target,Rainfall - (MM),Bond _Value,Tea_Price,Starbucks
1997-09-01,132.51,196.29,189.87,167.77,75.15,14.889285714285712,179.97099999999998,6.1927619047619045,94.328,2.6276043809523806
1997-10-01,121.09,169.4,167.66,152.12,74.52,14.58695652173913,141.999,6.022739130434783,101.13050000000001,2.320991956521739
1997-11-01,118.16,161.38,160.27,149.07,76.04,15.19342105263158,207.65400000000002,5.864789473684211,107.93299999999999,2.1149262631578947
1997-12-01,130.02,183.32,177.44,171.12,82.6,17.111363318181816,110.71600000000001,5.795636363636363,108.84,2.4298652727272727
1998-01-01,130.61,184.21,177.8,179.83,83.41,18.767187349999993,66.3413,5.525600000000001,115.6425,2.20009775
1998-02-01,130.78,190.59,178.18,177.78,83.36,17.35295989473685,115.818,5.564736842105264,127.4335,2.3718133157894736
1998-03-01,119.93,166.07,157.65,154.84,82.19,18.136363727272723,186.305,5.6339999999999995,103.8515,2.579545545454545
1998-04-01,119.66,158.17,150.35,141.11,88.97,19.733928523809524,268.022,5.624476190476191,88.4325,2.840587952380952
1998-05-01,114.23,146.33,137.72,124.89,90.74,19.81187495,386.45099999999996,5.6423000000000005,70.74600000000001,2.95849605
1998-06-01,103.84,135.83,124.93,104.09,82.73,21.050994227272728,313.51,5.485909090909092,70.74600000000001,3.1223367727272726
1998-07-01,97.32,125.03,117.6,96.22,77.04,22.7886365,326.85900000000004,5.4479999999999995,76.188,3.3478340454545448
1998-08-01,101.25,129.45,123.21,101.92,79.29,22.67760409523809,227.264,5.328190476190477,77.095,2.453124809523809
1998-09-01,95.82,117.56,111.85,92.76,79.8,19.885564571428574,238.71599999999998,4.783380952380952,79.3625,2.0585938571428573
1998-10-01,95.01,115.01,109.72,91.32,80.3,19.378409181818178,235.345,4.519045454545455,78.909,2.3137430909090906
1998-11-01,98.26,121.74,116.36,96.67,80.16,20.983437400000003,247.24599999999998,4.819450000000001,72.10650000000001,2.85273445
1998-12-01,100.73,123.96,117.39,100.28,84.06,21.150568090909083,196.41099999999997,4.633318181818183,73.01350000000001,3.190696136363636
1999-01-01,97.62,123.07,112.96,99.43,82.29,21.534210736842102,185.00799999999998,4.711105263157895,79.3625,3.2517474736842105
1999-02-01,92.36,116.92,105.48,91.72,79.23,19.668421473684216,229.25400000000002,4.987473684210527,80.26950000000001,3.1156455263157894
1999-03-01,89.4,117.05,105.39,88.9,73.42,18.93070660869565,161.955,5.218478260869566,85.7115,3.646059913043478
1999-04-01,85.71,114.02,102.11,86.14,69.32,19.432142619047617,292.61,5.165190476190475,84.8045,4.082217523809523
1999-05-01,89.51,123.95,111.07,96.29,67.94,19.959999900000007,264.873,5.527550000000001,77.5485,4.608593999999999
1999-06-01,86.4,121.45,107.21,91.69,65.59,20.50795472727272,307.834,5.888727272727272,76.188,4.531072363636363
1999-07-01,78.2,107.05,94.84,78.13,61.56,20.231547857142857,240.604,5.777047619047619,75.73450000000001,3.159040095238095
1999-08-01,77.22,105.28,91.36,76.67,63.07,19.73607895454546,241.729,5.93140909090909,75.28099999999999,2.6850144090909085
1999-09-01,71.94,97.77,84.31,70.43,59.57,19.598512,399.005,5.902904761904763,89.793,2.8340769047619045
1999-10-01,76.36,103.69,94.2,78.74,58.52,16.70119042857143,306.334,6.09547619047619,90.7,2.9458699047619046
1999-11-01,88.22,126.76,113.38,98.41,63.06,16.41547642857143,219.09400000000002,6.017047619047617,82.08350000000002,3.4828871428571424
1999-12-01,95.62,140.35,124.46,109.47,66.79,16.453977045454543,187.59099999999998,6.259772727272729,82.9905,3.2017048181818173
2000-01-01,82.14,130.13,111.11,97.68,53.18,16.371874850000005,120.363,6.64725,85.258,3.2792964999999996
2000-02-01,76.15,124.73,103.44,91.51,48.86,15.786249999999999,210.222,6.5176,95.6885,4.21953145
2000-03-01,73.49,119.51,100.73,89.93,46.25,15.933695608695654,230.74,6.2468260869565215,93.421,4.631793652173912
2000-04-01,69.53,112.67,94.61,86.46,44.45,16.775,172.1,5.978578947368421,92.06049999999999,4.737252947368421
2000-05-01,69.23,110.31,94.15,87.23,44.32,16.439772818181815,365.82,6.427227272727273,91.1535,3.981889454545454
2000-06-01,64.56,100.3,86.44,78.32,42.68,17.55511359090909,272.907,6.083772727272728,92.96749999999999,4.491832636363636
2000-07-01,64.08,101.67,87.35,79.89,40.82,17.23000015,297.086,6.039600000000001,95.6885,4.890820249999999
2000-08-01,57.58,91.87,76.91,70.57,38.25,18.179687347826082,255.695,5.820391304347828,95.235,4.881114347826086
2000-09-01,57.3,89.98,75.78,71.14,38.83,17.923437449999998,304.809,5.788049999999998,95.6885,4.791894549999999
2000-10-01,56.39,90.25,76.65,72.28,36.14,18.38068190909091,176.835,5.734999999999999,89.3395,5.0600144090909085
2000-11-01,52.17,84.01,71.54,68.95,32.81,19.58571438095238,179.38400000000001,5.702333333333333,91.1535,5.786550857142856
2000-12-01,48.27,75.81,66.15,64.39,30.38,19.00187495,138.12,5.2284500000000005,87.072,5.5894533
2001-01-01,49.19,75.33,65.98,62.38,32.4,21.141815714285713,106.163,5.139619047619048,84.8045,5.584449619047619
2001-02-01,49.38,76.7,67.19,62.5,31.58,22.10542763157894,76.7547,5.088736842105263,78.00200000000001,6.060444263157894
2001-03-01,48.51,76.94,66.5,60.35,30.52,22.79573868181818,188.84400000000002,4.876681818181819,75.73450000000001,5.495028727272726
2001-04-01,47.31,78.25,66.13,55.11,28.49,22.0447373,208.895,5.12225,65.304,4.9580313
